japanese/_name,japanese/__text,text/_name,text/__text
Japanese,英,Meaning,はなぶさ、エイ/ English
Japanese,景色,Meaning,けしき/ paysage
Japanese,思う,Meaning,おもいます、おもって、おもった/ think
Japanese,品,Meaning,しな、ヒン/ Goods (des biens)
Japanese,指示,Meaning,"しじ/ indication, directive"
Japanese,育成,Meaning,Development (formation)
Japanese,奥さん,Meaning,おくさん/ (your) Wife
Japanese,公立,Meaning,public
Japanese,長所,Meaning,"mérite, qualité"
Japanese,この辺り,Meaning,このあたり/ alentours
Japanese,工,Meaning,コウ、ク/ engineering
Japanese,交,Meaning,か(わす)、まじ(わる)、コウ/ dodge
Japanese,乗,Meaning,の(る)、の(せる)、ジョウ/ Squared
Japanese,入院,Meaning,hospitalization
Japanese,遠慮,Meaning,"えんりょ/ discretion, gêne"
Japanese,理由,Meaning,りゆう/ reason
Japanese,雑草,Meaning,ざっそう/ weed (mauvaises herbes)
Japanese,服,Meaning,ふく/ clothes
Japanese,奥にいます,Meaning,おくにいます/ Je suis au fond de ...
Japanese,一人旅,Meaning,Traveling alone (ひとりたび)
Japanese,意味,Meaning,いみ/ meaning
Japanese,界,Meaning,カイ/ world
Japanese,信号,Meaning,"signal, feu de signalisation"
Japanese,日毎,Meaning,ひごと/ de jour en jour
Japanese,国歌,Meaning,national anthem
Japanese,切る,Meaning,きります、きって、きった/ cut
Japanese,重い煮物,Meaning,Heavy stew (bagage lourd)
Japanese,持,Meaning,も(つ)、ジ/ Hold
Japanese,降水,Meaning,precipitation
Japanese,研究所,Meaning,Research Institute
Japanese,乗客,Meaning,じょうきゃく/ passenger (voyageur)
Japanese,同様,Meaning,similar
Japanese,美術館,Meaning,art museum
Japanese,正,Meaning,ただ(しい)、セイ、ショウ/ Positive
Japanese,積乱雲,Meaning,せきらんうん/ Cumulonimbus
Japanese,中心,Meaning,ちゅうしん/ center
Japanese,労働,Meaning,ろうどう/ labor (travail)
Japanese,旅の宿,Meaning,たびのやど/ Travel Inn
Japanese,大使館,Meaning,embassy
Japanese,気持ち,Meaning,きもち/ feeling
Japanese,住所,Meaning,じゅうしょ/ (postal) adress
Japanese,近,Meaning,ちか(い)、チカ(ク)、キン、コン/ near
Japanese,羽,Meaning,はね、は、わ、ウ/ wing
Japanese,駅,Meaning,エキ/ station
Japanese,答,Meaning,こた(える)、トウ、ドウ/ Answer
Japanese,世紀,Meaning,century
Japanese,世界,Meaning,world
Japanese,工場,Meaning,factory
Japanese,乗り物,Meaning,vehicle
Japanese,高速,Meaning,こうそく/ high speed
Japanese,風船,Meaning,balloon
Japanese,大都市,Meaning,Big cities
Japanese,強風,Meaning,strong wind
Japanese,工事,Meaning,construction
Japanese,大阪市,Meaning,Osaka city
Japanese,近所,Meaning,きんじょ/ neighborhood
Japanese,北区,Meaning,arrondissement du Nord
Japanese,不利,Meaning,Unfavorable (inconvénient)
Japanese,政,Meaning,まつりごと、セイ/ Government
Japanese,場所,Meaning,place
Japanese,世話,Meaning,"care (soin, service)"
Japanese,一時間毎,Meaning,いちじかんごと/ Every hour
Japanese,画,Meaning,はか(る)、ガ、カク/ picture
Japanese,近日,Meaning,きんじつ/ Coming soon
Japanese,不満,Meaning,dissatisfaction
Japanese,大好き,Meaning,だいすき/ really like
Japanese,姉妹,Meaning,しまい/ sisters (little and older sister)
Japanese,教える,Meaning,おしえます、おしえて、おしえた/ teach
Japanese,お正月,Meaning,おしょうがつ/ New Year
Japanese,薬局,Meaning,やっきょく/ pharmacy
Japanese,育てる,Meaning,"そだてます、そだてて、そだてた/ nurture (élever, cultiver)"
Japanese,繊細な絵,Meaning,せんさいなえ/ delicate painting
Japanese,育,Meaning,そだ(てる)、そだ(つ)、イク/ Education
Japanese,品物,Meaning,"しなもの/ goods (objets, articles)"
Japanese,帰宅,Meaning,きたく/ going home
Japanese,番,Meaning,バン/ number
Japanese,数字,Meaning,すうじ/ numbers
Japanese,動,Meaning,うご(く)、ドウ/ motion
Japanese,電池,Meaning,でんち/ battery (pile)
Japanese,病院,Meaning,hospital
Japanese,拾,Meaning,ひろ(う)、シュウ/ pick up
Japanese,海外旅行,Meaning,overseas trip
Japanese,遠,Meaning,とお(い)、とお(く)、エン/ far
Japanese,声,Meaning,こえ、ごえ、セイ/ voice
Japanese,走る,Meaning,はしって、はしった/ Run
Japanese,遠い国,Meaning,とおいくに/ Faraway Country
Japanese,京の都,Meaning,きょうのみやこ/ Kyoto
Japanese,AI技術,Meaning,AIぎじゅつ/AI technology
Japanese,有無,Meaning,presence or absence
Japanese,真っ赤,Meaning,まっか/ bright red (tout rouge)
Japanese,文,Meaning,ふみ、ブン、モン/ Sentence
Japanese,心,Meaning,こころ、シン/ heart
Japanese,短,Meaning,みじか(い)、タン/ short
Japanese,糸,Meaning,いと、シ/ (fil)
Japanese,音声,Meaning,audio
Japanese,急ぐ,Meaning,いそぎます、いそいで、いそいだ/ to hurry
Japanese,社,Meaning,シャ / company
Japanese,雪,Meaning,ゆき、セツ/ snow
Japanese,銀行,Meaning,ぎんこう/ Bank
Japanese,運動,Meaning,motion (exercices physiques)
Japanese,区,Meaning,ク/ Ward (zone)
Japanese,鉄,Meaning,テツ、テッ/ iron
Japanese,研修,Meaning,training (stage)
Japanese,捨て,Meaning,すて、シャ/ Throw away
